year	stem	section	qidx	has_answer	has_solution	answer_text
1977	shanghai_liberal	解答题	1	0	1	
1977	shanghai_liberal	解答题	2	0	1	
1977	shanghai_liberal	解答题	3	0	1	
1977	shanghai_liberal	解答题	4	0	1	
1977	shanghai_liberal	解答题	5	0	1	
1977	shanghai_liberal	解答题	6	0	1	
1977	shanghai_liberal	解答题	7	0	1	
1977	shanghai_liberal	解答题	8	0	1	
1977	shanghai_science	解答题	1	0	1	
1977	shanghai_science	解答题	2	0	1	
1977	shanghai_science	解答题	3	0	1	
1977	shanghai_science	解答题	4	0	1	
1977	shanghai_science	解答题	5	0	1	
1977	shanghai_science	解答题	6	0	1	
1977	shanghai_science	解答题	7	0	1	
1977	shanghai_science	解答题	8	0	1	
1977	shanghai_science	附加题	9	0	1	
1977	shanghai_science	附加题	10	0	1	
1985	shanghai_liberal	填空题	1	1	1	\(\left(-3,-1\right)\)
1985	shanghai_liberal	填空题	2	1	1	\(y=(x+1)^8\)，\(x\geqslant-1\)
1985	shanghai_liberal	填空题	3	1	1	\(\dfrac{\pi}{2}\)
1985	shanghai_liberal	填空题	4	1	1	\(29\)
1985	shanghai_liberal	填空题	5	1	1	\(x=1\)
1985	shanghai_liberal	填空题	6	1	1	\(>\)
1985	shanghai_liberal	填空题	7	1	1	\(\left(x-2\right)^2+\left(y-4\right)^2=5\)
1985	shanghai_liberal	填空题	8	1	1	\(\dfrac{3\pi}{4}\)
1985	shanghai_liberal	填空题	9	1	1	\(\dfrac{2(1-a)}{a}\)
1985	shanghai_liberal	填空题	10	1	1	\(\pi\)
1985	shanghai_liberal	单选题	11	1	1	C
1985	shanghai_liberal	单选题	12	1	1	D
1985	shanghai_liberal	单选题	13	1	1	D
1985	shanghai_liberal	单选题	14	1	1	B
1985	shanghai_liberal	单选题	15	1	1	A
1985	shanghai_liberal	解答题	16	0	1	
1985	shanghai_liberal	解答题	17	0	1	
1985	shanghai_liberal	解答题	18	0	1	
1985	shanghai_liberal	解答题	19	0	1	
1985	shanghai_liberal	解答题	20	0	1	
1985	shanghai_liberal	解答题	21	0	1	
1985	shanghai_science	填空题	1	1	1	\(\left(-3,-1\right)\)
1985	shanghai_science	填空题	2	1	1	\(y=\left(x+1\right)^3\)
1985	shanghai_science	填空题	3	1	1	\(\dfrac{\sqrt{2}}{2}\)
1985	shanghai_science	填空题	4	1	1	\(4\)
1985	shanghai_science	填空题	5	1	1	\(\left(x-2\right)^2+\left(y-4\right)^2=5\)
1985	shanghai_science	填空题	6	1	1	\(l\parallel\alpha\)
1985	shanghai_science	填空题	7	1	1	\(-1\)
1985	shanghai_science	填空题	8	1	1	\(x=2\)
1985	shanghai_science	填空题	9	1	1	\(\dfrac{\sqrt{5}}{5}\)
1985	shanghai_science	填空题	10	1	1	\(\pi\)
1985	shanghai_science	单选题	11	1	1	C
1985	shanghai_science	单选题	12	1	1	C
1985	shanghai_science	单选题	13	1	1	D
1985	shanghai_science	单选题	14	1	1	B
1985	shanghai_science	单选题	15	1	1	D
1985	shanghai_science	解答题	16	0	1	
1985	shanghai_science	解答题	17	0	1	
1985	shanghai_science	解答题	18	0	1	
1985	shanghai_science	解答题	19	0	1	
1985	shanghai_science	解答题	20	0	1	
1985	shanghai_science	解答题	21	0	1	
1985	shanghai_science	解答题	22	0	1	
1985	shanghai_science	解答题	23	0	1	
1986	shanghai_liberal	单选题	1	1	1	B
1986	shanghai_liberal	单选题	2	1	1	B
1986	shanghai_liberal	单选题	3	1	1	D
1986	shanghai_liberal	单选题	4	1	1	B
1986	shanghai_liberal	单选题	5	1	1	C
1986	shanghai_liberal	单选题	6	1	1	A
1986	shanghai_liberal	单选题	7	1	1	C
1986	shanghai_liberal	单选题	8	1	1	A
1986	shanghai_liberal	单选题	9	1	1	D
1986	shanghai_liberal	单选题	10	1	1	B
1986	shanghai_liberal	单选题	11	1	1	B
1986	shanghai_liberal	单选题	12	1	1	A
1986	shanghai_liberal	单选题	13	1	1	D
1986	shanghai_liberal	单选题	14	1	1	B
1986	shanghai_liberal	单选题	15	1	1	D
1986	shanghai_liberal	单选题	16	1	1	C
1986	shanghai_liberal	单选题	17	1	1	C
1986	shanghai_liberal	单选题	18	1	1	D
1986	shanghai_liberal	单选题	19	1	1	A
1986	shanghai_liberal	单选题	20	1	1	C
1986	shanghai_liberal	填空题	21	1	1	\(\left( -3,-12 \right)\)
1986	shanghai_liberal	填空题	22	1	1	\(\frac{\pi}{6}\)
1986	shanghai_liberal	填空题	23	1	1	\(2\)
1986	shanghai_liberal	填空题	24	1	1	\(1\)
1986	shanghai_liberal	填空题	25	1	1	\(28\)或\(\mathrm C_8^6\)
1986	shanghai_liberal	填空题	26	1	1	\(1\leqslant x<10\)
1986	shanghai_liberal	填空题	27	1	1	\(\pi\)
1986	shanghai_liberal	填空题	28	1	1	\(12\)
1986	shanghai_liberal	填空题	29	1	1	\(7\)
1986	shanghai_liberal	填空题	30	1	1	\(\left( 0,1 \right)\)
1986	shanghai_liberal	解答题	31	0	1	
1986	shanghai_liberal	解答题	32	0	1	
1986	shanghai_liberal	解答题	33	0	1	
1986	shanghai_liberal	解答题	34	0	1	
1986	shanghai_liberal	解答题	35	0	1	
1986	shanghai_science	单选题	1	1	1	B
1986	shanghai_science	单选题	2	1	1	B
1986	shanghai_science	单选题	3	1	1	D
1986	shanghai_science	单选题	4	1	1	B
1986	shanghai_science	单选题	5	1	1	C
1986	shanghai_science	单选题	6	1	1	A
1986	shanghai_science	单选题	7	1	1	C
1986	shanghai_science	单选题	8	1	1	A
1986	shanghai_science	单选题	9	1	1	D
1986	shanghai_science	单选题	10	1	1	B
1986	shanghai_science	单选题	11	1	1	B
1986	shanghai_science	单选题	12	1	1	A
1986	shanghai_science	单选题	13	1	1	D
1986	shanghai_science	单选题	14	1	1	B
1986	shanghai_science	单选题	15	1	1	A
1986	shanghai_science	单选题	16	1	1	C
1986	shanghai_science	单选题	17	1	1	D
1986	shanghai_science	单选题	18	1	1	A
1986	shanghai_science	单选题	19	1	1	C
1986	shanghai_science	单选题	20	1	1	D
1986	shanghai_science	填空题	21	1	1	\(\left( -3,-12 \right)\)
1986	shanghai_science	填空题	22	1	1	\(\frac{\pi}{6}\)
1986	shanghai_science	填空题	23	1	1	\(1\)
1986	shanghai_science	填空题	24	1	1	\(28\) 或 \(\mathrm C_8^6\)
1986	shanghai_science	填空题	25	1	1	\(3\leqslant x\leqslant 5\)
1986	shanghai_science	填空题	26	1	1	\(\pi\)
1986	shanghai_science	填空题	27	1	1	\(12\)
1986	shanghai_science	填空题	28	1	1	\(7\)
1986	shanghai_science	填空题	29	1	1	\((0,1)\)
1986	shanghai_science	填空题	30	1	1	\(-4\)
1986	shanghai_science	解答题	31	0	1	
1986	shanghai_science	解答题	32	0	1	
1986	shanghai_science	解答题	33	0	1	
1986	shanghai_science	解答题	34	0	1	
1986	shanghai_science	解答题	35	0	1	
1987	shanghai	填空题	1	1	1	\(y=-\sqrt{x}\)
1987	shanghai	填空题	2	1	1	\(1023\)
1987	shanghai	填空题	3	1	1	\(b=0\)
1987	shanghai	填空题	4	1	1	\(\dfrac{\pi}{2}\)
1987	shanghai	填空题	5	1	1	\(\pi a^3\)
1987	shanghai	填空题	6	1	1	\(\dfrac{\pi}{4}\)
1987	shanghai	填空题	7	1	1	\(\dfrac{2\pi}{5}\)
